code;hmcode;leistung
X0101;X0101;Massage (Teil-/Großmassage) auch Spezialmassagen  (Bindegewebs-, Reflexzonen-, Segment-, Periost-, Bürsten- und Colonmassagen)
X0102;X0102;Unterwasserdruckstrahlmassage
X0103;X0103;Spezialmassagen (Bindegewebs,- Reflexzonen-, Segment-, Periost-,Bürsten- und Colonmassagen)
X0104;X0104;Teilmassage
X0105;X0105;Spezialmassage
X0106;X0106;Klassische Massagetherapie (KMT)
X0107;X0107;Bindegewebsmassage (BGM)
X0108;X0108;Reflexzonen-, Segment-, Periost und Colonmassage
X0201;X0201;Großbehandlung
X0202;X0202;Ganzbehandlung
X0203;X0203;Ganzbehandlung mit komplexer Bewegungstherapie
X0204;X0204;Kompressionsbandagierung
X0205;X0205;Teilbehandlung
X0301;X0301;Bewegungsübungen/orth. Turnen
X0302;X0302;Atemgymnastik
X0303;X0303;Atem- und Kreislaufgymnastik
X0304;X0304;Atemgymnastik mit Massage
X0305;X0305;Bewegungsbad
X0306;X0306;Chirogymnastik einschl. Nachruhe
X0307;X0307;Bewegungsübungen im Schlingentisch
X0308;X0308;Übungsbehandlung einschl. begleit. Kältetherapie
X0401;X0401;Bewegungsübungen/orth. Turnen
X0402;X0402;Bewegungsbad bis 3 Pers.
X0403;X0403;Bewegungsbad bis 5 Pers.
X0404;X0404;Bewegungsbad bis 7 Pers.
X0405;X0405;Bewegungsbad 4 -5 Pers.
X0501;X0501;KG, auch Atemgymnastik, auch auf neurophysiologischer Grundlage
X0502;X0502;KG, auch Atemgymnastik einschl. erforderlicher Massage
X0503;X0503;KG, auch Atemgymnastik, auch auf neurophysiologischer Grundlage einschl. erforderl Massagen
X0504;X0504;Krankengymnastische Behandlung mit Eisanwendung einschl. erforderl. Massagen
X0505;X0505;Krankengymnastik (Kinder)
X0506;X0506;Krankengymnastische Behandlung mit Reizstrom
X0507;X0507;Gerätegestütze Krankengymnastik (KG- Gerät), parallele Einzelbehandlung bis zu 3 Patienten, je Patient
X0521;X0521;Allgemeine Krankengymnastik (KG) (auch auf neurophysiologischer Grundlage): Einzelbehandlung als telemedizinische Leistung (Regelbehandlungszeit 15 bis 25 Minuten)
X0601;X0601;KG, auch Atemtherapie, 2-5 Pers.
X0602;X0602;KG auf neurphysiol. Grundlage
X0603;X0603;KG Gruppe, 3-5 Pers.
X0604;X0604;KG bis 4 Pers.
X0605;X0605;KG bis 6 Pers.
X0606;X0606;KG, auch orthopädisches Turnen
X0607;X0607;Krankengymnastik (Kinder)
X0621;X0621;Allgemeine Krankengymnastik (KG) (auch auf neurophysiologischer Grundlage): Gruppenbehandlung (2 - 5 Patienten) als telemedizinische Leistung (Regelbehandlungszeit 20 bis 30 Minuten)
X0701;X0701;KG auf neurophysiol. Grdl., auch Athemth. bei cystischer Fibrose (Mucoviscidose)
X0702;X0702;KG auch Atemtherapie bei Mucoviscidose und schweren Bronchialerkrankungen, 60 Min.
X0703;X0703;KG bei zentralen Bewegungsstörungen (Kinderbehandlung)
X0704;X0704;KG bei zentralen Bewegungsstörungen (Erwachsenenhandlung)
X0705;X0705;Systematische sensomotorische Entwicklungs- u. Übungsbehandlung
X0706;X0706;Systematische sensomotorische Behandlung
X0707;X0707;Funktionelle Entwicklungstherapie
X0708;X0708;Krankengymnastik zur Behandlung von zentralen Bewegungsstörungen bis zur Vollendung des 18. Lebensjahres nach Bobath (KG-ZNS-Kinder nach Bobath)
X0709;X0709;Krankengymnastik zur Behandlung von zentralen Bewegungsstörungen bis zur Vollendung des 18. Lebensjahres nach Vojta (KG-ZNS-Kinder nach Vojta)
X0710;X0710;Krankengymnastik zur Behandlung von zentralen Bewegungsstörungen, nach Vollendung des 18. Lebensjahres, nach Bobath (KG-ZNS nach Bobath)
X0711;X0711;Krankengymnastik zur Behandlung von zentralen Bewegungsstörungen, nach Vollendung des 18. Lebensjahres, nach Vojta (KG-ZNS nach Vojta)
X0712;X0712;Krankengymnastik zur Behandlung von zentralen Bewegungsstörungen, nach Vollendung des 18. Lebensjahres, nach PNF (KG-ZNS nach PNF)
X0720;X0720;Krankengymnastik zur Behandlung von zentralen Bewegungsstörungen nach Vollendung des 18. Lebensjahres nach Bobath als Einzelbehandlung (KG-ZNS nach Bobath) als telemedizinische Leistung (Regelbehandlungszeit 25 bis 35 Minuten)
X0722;X0722;Krankengymnastik zur Behandlung schwerer Erkrankungen der Atmungsorgane (insbesondere bei Mukoviszidose oder bei Lungenerkrankungen, die der Mukoviszidose vergleichbare pulmonale Schädigungen aufweisen) - KG-Muko: Einzelbehandlung als telemedizinische Leistung (Regelbehandlungszeit 60 Minuten)
X0728;X0728;Krankengymnastik zur Behandlung von zentralen Bewegungsstörungen bis zur Vollendung des 18. Lebensjahres nach Bobath als Einzelbehandlung (KG-ZNS- Kinder nach Bobath) als telemedizinische Leistung (Regelbehandlungszeit 30 bis 45 Minuten)
X0801;X0801;KG bei Mucoviszidose und schweren Bronchialerkrankungen
X0802;X0802;KG, auch Atemtherapie bei Mucoviscidose
X0803;X0803;KG, auch Atemtherapie bei Mucoviscidose 2- 5 Personen
X0804;X0804;KG auf neurophys. Grdl., auch Atem-therapie bei cystischer Fibrose (Mucoviscidose)
X0805;X0805;KG bei zelebralen Dysfunktionen für Kinder bis 14 Jahre (2-4 Kinder)
X0806;X0806;KG bei Minimale Cerebrale Dysfunktion (MCD)/Psychomotorik
X0807;X0807;KG bei MCD/Psychomotorik 2-4 Kinder
X0808;X0808;KG bei MCD/Psychomotorik 3-5Kinder
X0809;X0809;KG bei MCD/Psychomotorik bis 6 Personen
X0810;X0810;KG in der Gruppe für Erwachsene und Kinder auf neurophysiologischer und funktionell vegetativer Grundlage (3 - 5 Personen)
X0811;X0811;Behandlung von sensomotorischen Wahrnehmungsstörungen (Kinder)
X0901;X0901;KG im Bewegungsbad
X0902;X0902;KG im Bewegungsbad einschl. Nachruhe
X1001;X1001;KG im Bewegungsbad 2-5 Personen
X1002;X1002;KG im Bewegungsbad 2-6 Personen
X1003;X1003;KG im Bewegungsbad bis 3 Personen
X1004;X1004;KG im Bewegungsbad bis 3 Pers ink. Nachruhe
X1005;X1005;KG im Bewegungsbad 4 bis 5 Personen incl. Nachruhe
X1101;X1101;Einfaches Gerät (Glissonschl.)
X1102;X1102;Großes Gerät (Schrägbrett)
X1103;X1103;Extensionsbehandlung im Schlingentisch
X1104;X1104;Traktionsbehandlung mit Gerät
X1201;X1201;Manuelle Therapie
X1202;X1202;Manuelle Therapie für Extremitäten
X1203;X1203;Manuelle Therapie für Wirbelsäule
X1204;X1204;Cyriax
