code;bezeichnung;einzelpreis;gruppe
30.1;	Spülung des Ohres;15.50;HP Sonstiges
10.1;	für jede angefangene Stunde bei Tag;5.50;HP Nebengebühren für Hausbesuche
10.3;	durch Erstattung der Auslagen für öffentliche Verkehrsmittel;;HP Nebengebühren für Hausbesuche
11.1;Kurze Krankheitsbescheinigung oder Brief im Interesse des Patienten;15.50;HP Schriftliche Auslassungen und  Krankheitsbesch.
11.2;	Ausführlicher Krankheitsbericht oder Gutachten (DIN A4 engzeilig maschinengeschrieben);20.50;HP Schriftliche Auslassungen und  Krankheitsbesch.
11.3;Individuell angefertigter schriftlicher Diätplan bei Ernährungs- und Stoffwechselstörungen;26.00;HP Schriftliche Auslassungen und  Krankheitsbesch.
12.4;Harnuntersuchung, nur sediment;4.60;HP Chemisch-physikalische Untersuchungen
14.4;Grundumsatzbestimmung mit Hilfe der Atemgasuntersuchung;26.00;HP Spezielle Untersuchungen
14.5;Prüfung der Lungenkapazität (Spirometrische Untersuchung);20.50;HP Spezielle Untersuchungen
14.6;Elektrokardiogramm mit mindestens 9 Ableitungen;51.50;HP Spezielle Untersuchungen
14.7;Elektrokardiogramm mit Standardableitungen, Goldbergerableitungen, Nehbsche Ableitungen, Brustwandableitungen;31.00;HP Spezielle Untersuchungen
14.8;Oszillogramm-Methoden;25.50;HP Spezielle Untersuchungen
14.9;Spezielle Herz-Kreislauf-Untersuchungen (Schellong);25.50;HP Spezielle Untersuchungen
14.10;Ultraschall-Gefäßdoppler-Untersuchung zu peripheren Venendruck- und/oder Strömungsmessung;11.30;HP Spezielle Untersuchungen
15.1;Photoaufnahmen zu diagnostischen Zwecken, Aufnahmen schwarz/weiß (pro Augenpaar);15.50;HP Photoaufnahmen
15.2;Vergrößerungen sowie Farbaufnahmen werden zum handelsüblichen Preis berechnet;;HP Photoaufnahmen
16.1;Elektro Neural-Diagnostik;26.00;HP Bioenergetische Verfahren
16.2;Segmentdiagnostik, Maximaldiagnostik u.a.;20.50;HP Bioenergetische Verfahren
16.3;Bioelektrische Funktionsdiagnostik;41.00;HP Bioenergetische Verfahren
16.4;Hautwiderstandsmessungen;26.00;HP Bioenergetische Verfahren
17.1;Neurologische Untersuchung;26.00;HP Neurologische Untersuchungen
18.1;Einfache heilmagnetische Spezialbehandlungen, soweit sie nicht das gewöhnliche Maß einer Behandlung in zeitlicher Hinsicht überschreiten;10.50;HP Heilmagnetische Behandlungen
18.2;Heilmagnetische Spezialbehandlungen, soweit sie in zeitlicher Hinsicht das gewöhnliche Maß überschreiten;26.00;HP Heilmagnetische Behandlungen
19.1;Psychotherapie von halbstündiger Dauer;26.00;HP Psychotherapie
19.2;	Psychotherapie von 50 bis 90 Minuten Dauer;46.00;HP Psychotherapie
19.3;Ausstellung eines psychodiagnostischen Befundes;38.50;HP Psychotherapie
19.4;Psychotherapeutisches Gutachten je zweizeiliger Schreibmaschinenseite;15.50;HP Psychotherapie
19.5;Psychologische Exploration mit eingehender Beratung;46.00;HP Psychotherapie
19.6;Anwendung und Auswertung von Testverfahren (TAT, TUA, Rorschach usw.);38.50;HP Psychotherapie
19.7;Behandlung von Störungen der Sprechorgane je Sitzung;31.00;HP Psychotherapie
25.3;Injektion, intravenös, intraarteriell;7.70;HP Injektionen, Infusionen
25.4;intrakutane Reiztherapie (Quaddelbehandlung), pro Sitzung;13.00;HP Injektionen, Infusionen
25.5;Injektion, intraartikulär;15.50;HP Injektionen, Infusionen
25.6;Neural- oder segmentgezielte Injektionen nach Hunecke;26.00;HP Injektionen, Infusionen
26.2;Aderlaß;12.80;HP Blutentnahmen
27.1;Setzen von Blutegeln, ggf. einschließl. Verband;31.00;HP Hautableitungsverfahren, Hautreizverfahren
27.2;Skarifikation der Haut;10.50;HP Hautableitungsverfahren, Hautreizverfahren
27.3;Setzen von Schröpfköpfen, unblutig;8.00;HP Hautableitungsverfahren, Hautreizverfahren
27.4;Setzen von Schröpfköpfen, blutig;20.50;HP Hautableitungsverfahren, Hautreizverfahren
