code;bezeichnung;einzelpreis;gruppe
KG;KG;24.08;Physiotherapie
KG im Bewegungsbad;KG im Bewegungsbad;27.53;Physiotherapie
KMT;KMT;17.57;Physiotherapie
KG-Gerät;KG-Gerät;45.34;Physiotherapie
KG Gruppe;KG Gruppe;10.78;Physiotherapie
Übungsbehandlung;Übungsbehandlung;11.12;Physiotherapie
KG im Bewegungsbad Gruppe;KG im Bewegungsbad Gruppe;19.63;Physiotherapie
Übungsbehandlung Gruppe;Übungsbehandlung Gruppe;6.85;Physiotherapie
UWM;UWM;27.42;Physiotherapie
Übungsbehandlung im Bewegungsbad;Übungsbehandlung im Bewegungsbad;26.71;Physiotherapie
Übungsbehandlung im Bewegungsbad Gruppe;Übungsbehandlung im Bewegungsbad Gruppe;19.51;Physiotherapie
SM;SM;17.57;Physiotherapie
PM;PM;17.57;Physiotherapie
Wärmetherapie mittels heiße Rolle;Wärmetherapie mittels heiße Rolle;10.94;Physiotherapie
BGM;BGM;21.11;Physiotherapie
Wärmetherapie mittels Heißluft;Wärmetherapie mittels Heißluft;6.04;Physiotherapie
Wärmetherapie mittels Ultraschall;Wärmetherapie mittels Ultraschall;11.91;Physiotherapie
Warmpackungen (z. B. Fango);Warmpackungen (z. B. Fango);13.13;Physiotherapie
Wärmetherapie mittels Vollbäder mit Peloid./Paraf.;Wärmetherapie mittels Vollbäder mit Peloid./Paraf.;45.01;Physiotherapie
Kältetherapie mittels Kaltpackungen;Kältetherapie mittels Kaltpackungen;9.71;Physiotherapie
Wärmetherapie mittels Teilbäder mit Peloid./Paraf.;Wärmetherapie mittels Teilbäder mit Peloid./Paraf.;34.81;Physiotherapie
Kältetherapie mittels Kaltgas;Kältetherapie mittels Kaltgas;9.71;Physiotherapie
Kältetherapie mittels Kaltluft;Kältetherapie mittels Kaltluft;9.71;Physiotherapie
Elektrotherapie;Elektrotherapie;6.85;Physiotherapie
MT;MT;28.92;Physiotherapie
hydroelektrisches Teilbad (Stangerbad);hydroelektrisches Teilbad (Stangerbad);11.77;Physiotherapie
Chirogymnastik;Chirogymnastik;16.59;Physiotherapie
Traktion;Traktion;7.02;Physiotherapie
hydroelektrisches Vollbad (Stangerbad);hydroelektrisches Vollbad (Stangerbad);22.43;Physiotherapie
Elektrostimulation;Elektrostimulation;15.20;Physiotherapie
KG-ZNS (Bobath);KG-ZNS (Bobath);38.24;Physiotherapie
KG-ZNS;KG-ZNS;38.24;Physiotherapie
KG-ZNS (Vojta);KG-ZNS (Vojta);38.24;Physiotherapie
KG-ZNS (PNF);KG-ZNS (PNF);38.24;Physiotherapie
KG-ZNS-Kinder;KG-ZNS-Kinder;47.80;Physiotherapie
KG-Atemtherapie;KG-Atemtherapie;24.08;Physiotherapie
KG-ZNS-Kinder (Vojta);KG-ZNS-Kinder (Vojta);47.80;Physiotherapie
KG-ZNS-Kinder (Bobath);KG-ZNS-Kinder (Bobath);47.80;Physiotherapie
KG-Atemtherapie Gruppe;KG-Atemtherapie Gruppe;10.78;Physiotherapie
Inhalationstherapie;Inhalationstherapie;10.03;Physiotherapie
KG-Muko;KG-Muko;72.26;Physiotherapie
MLD-30 + anschließender Kompressionsbandagierung;MLD-30 + anschließender Kompressionsbandagierung;47.85;Physiotherapie
MLD-30;MLD-30;29.23;Physiotherapie
MLD-45;MLD-45;43.83;Physiotherapie
MLD-45 + anschließender Kompressionsbandagierung;MLD-45 + anschließender Kompressionsbandagierung;62.45;Physiotherapie
MLD-60;MLD-60;58.45;Physiotherapie
MLD-60 + anschließender Kompressionsbandagierung;MLD-60 + anschließender Kompressionsbandagierung;77.07;Physiotherapie
